addres,vested_total,unlocked,remaining
YB4MAU39fLfSzsUogHjWTKmzNEA4ax31WzxYRiABnYomoyF,85599173241900000000000,22355094670471428531774,63244078571428571468226
XjerrB5tv2MRvihvkffkgPuGRqFrrxhXuYBvgNemSq2pZSZ,605096955387000000000000,151621993539380952323972,453474961847619047676028
ZoFGEbdiw31e9cdtcJUYKHEn5fHPxwZKRADY8M5CPxegULe,12319990000000000000000,4172690779739583272228,8147299220260416727772
Wkux7rGxWQ4vdp3pHAFZ4Nx1Vv1sRcfMVKjjk6tXG9e5oMz,432000000000000000000000,139326750000000000128169,292673249999999999871831
Z382ZnNvRHRGD7CrA23RbbZbNSmcRKGSBN9edTzZDVKUECC,20096000000000000000000,5962605809523809423096,14133394190476190576904
XzQFcUuouTXZKKKVBT5EgcfwbDjf2WomDJ5MmKs4tcn3QUb,102295815460200000000000,43466489745914285742972,58829325714285714257028
XDNEsgUahwiocnvafi2fQ6JDMqn1AKxzCXezws6vaRKw2m1,49750000000000000000000,13476401413690476277968,36273598586309523722032
W5Wsj4rABauyRd9oEgaZm4EppSkmPaAbwYpqK5SXgRWGesj,2624000000000000000000,845451238095237981472,1778548761904762018528
WhfikQpSf896GPuGFGKUL1guAZbbPM9mq9x9S39NCjTgbME,31040000000000000000000,10516855476190476114055,20523144523809523885945
WQhBWNE1b5FdmvtPDQiCaeYZwMg97mzB2iPJTBjTgCmqiQm,135043590000000000000000,44706863725758928527066,90336726274241071472934
YwrLjBdvxNWHjnKpxrZzgMY3BLMiFrTcr1poZ3G6sULRVGd,44441766508500000000000,23391286652250000000000,21050479856250000000000
WJm5Pmx76o5UQpce7wiDJs5CDEqvNvu72tGWeiTW2FSkAAE,720654587778600000000000,208892816778600000000000,511761771000000000000000
WnW66AS36v2bfEMv1hHh6MCBBJSgzDpfKJ8H2cTSZkFDjzv,649448889746400000000000,220542800460685714331431,428906089285714285668569
a6R1m34SJj34jPcQnwdZmvGRhosXXrzTb5viLtqs8MLNMyy,9478390000000000000000,2826280999136904787272,6652109000863095212728
aYKFRAs8DnifZErpaVBVK8NFKyxqEW6NNNAuh3CSB9pi5Cy,528276346451100000000000,120554571022528571493870,407721775428571428506130
XAdgx1eqb7EPEfgUzTV45ZFyqfDUMqJ515Uf8qpRSKxsoSj,2000099990000000000000000,653787148740156250101641,1346312841259843749898359
Z1LiAR3sSWg1VV5CxdtqKVczFfmZegRCRHw4MzRVuLMnkrv,140222272912200000000000,123467659678918749941535,16754613233281250058465
Y6jbN38BQXxtToT7EjU9XzhmAB4C8EoqX8w5PZPgCEjqRfD,30807325784459700000000000,13744712155040057142900567,17062613629419642857099433
Y5NeMKTU6wocE6oSoS5w2dXJkNieDWCSRTNTbEmKMFJgzTV,18403200000000000000000,5705964192857142897473,12697235807142857102527
aVjVRt7M8zdqLfvULEQ4Jm5XWSDLLX576UC5SNnZhGwzT3n,54318556102500000000000,17153292847068452525300,37165263255431547474700
b7LdtrYtypcmipeLF8Ai7QZZE1xbEKBpkFcMVRH6wvoSeQd,undefined,undefined,137555627558713446437210
Wh1atPbNp6FGhHtnkBdu69HUN8kfEuGVA2fmKijfwmuGmeN,4936000000000000000000,1568825333333333444864,3367174666666666555136
Z38cxQcULdtFwjjnZskRxakj3veRuHYZp1bBWbwA5hyj3ZV,37239100859000000000000,11282880159595238151925,25956220699404761848075
ac2v7depJQ8wWu8TNfYbknVWQCMKHcLgWhhCEW1ZcNgNMJ3,108072000000000000000000,37077943232142857236202,70994056767857142763798
YfuxdK8zStEx2zZ7hTNNxCJBEpy6hsZRQXYrhuULnm9pZxF,13200000000000000000000,4248366964285714157931,8951633035714285842069
W6UdrXeMhZ7DnC5Z3aHCK3iBtQ3NeiY3VSGEt551t7UXgND,65175114183300000000000,23077039820204761891778,42098074363095238108222
aQ8uByCKMmTpubU9Cp6jC2mDXSeGwLTYB84HBzdveEKNjSe,9490995387000000000000,2806851934619047561840,6684143452380952438160
XfXDYRCSUZh1phzaLRKp2bwzyJGEfdigrycZecnNdLpbcmY,10313993607300000000000,6882690721585714219082,3431302885714285780918
W8di5qodYmYcQ7hBSNwSKpUL3Jewgtv9VTK8izTua1U7ps5,36625512942900000000000,13806758022661904616620,22818754920238095383380
a7jNxx8HofPiEohbxcjSLGEgZNr9nCAZMPpcXv9QwERwn8f,20772640000000000000000,5775443064999999920242,14997196935000000079758
